,pref_mail_name,pref_class_year,home_city,home_state_code,home_country,home_phone_area_code,home_phone_number,home_email_address,bus_city,bus_state_code,bus_country,bus_phone_area_code,bus_phone_number,bus_email_address,first_name,last_name,pref_name_sort,email_switch,saa_email_address,gsb_email_address,other_email_address,pref_phone_area_code,pref_phone_number,pref_phone_addr_type,memb_status_desc,short_degree_string,parent_degree_string,short_degree_string_spouse,parent_degree_string_spouse,primary_sort_name,plan_name,primary_ind,0
79,,2010,Seoul,,Japan,,*,,,,Japan,,,lrodriguez3108@stanfordalumni.org,Liam,Rodriguez,,,*,,,,,,,,,,,,,,
80,,,Chicago,IL,Kuwait,,,,,,*,,,,William,Johnson,,,,,,,,,,,,,,,,,
81,,2002,,,Kuwait,,,,,,Kuwait,,,,Elijah,Smith,,,,,,,,,,,,,,,,,
82,,2012,Dubai,,China,,*,sbrown1977@gmail.com,,,USA,,,,Susan,Brown,,,susanbrown9385@alumni.stanford.edu,,,,,,,,,,,,,,
83,,,Chicago,IL,Japan,,,,,,*,,,nbrown9974@alumni.stanford.edu,Noah,Brown,,,*,,,,,,,,,,,,,,
84,,,Seoul,,Kuwait,,*,,,,,,,,Elijah,Brown,,,,,,,,,,,,,,,,,
85,,,Chicago,IL,Kuwait,,,*,,,United States,,,,Lucas,Smith,,,,,,,,,,,,,,,,,
86,,,Boston,MA,Japan,,*,*,,,,,,,Henry,Jones,,,*,,,,,,,,,,,,,,
87,,2014,London,,,,*,*,,,,,,,Barbara,Davis,,,b.davis6004@alumni.stanford.edu,,,,,,,,,,,,,,
88,,,,,*,,*,,,,United States,,,,Benjamin,Williams,,,*,,,,,,,,,,,,,,
89,,,Shanghai,,Japan,,,,,,USA,,,,James,Johnson,,,james.johnson4774@alumni.stanford.edu,,,,,,,,,,,,,,
90,,1991,Beijing,,*,,,,,,USA,,,,Jennifer,Johnson,,,*,,,,,,,,,,,,,,
91,,,Beijing,,United States,,*,*,,,USA,,,,Linda,Miller,,,linda.miller3878@alumni.stanford.edu,,,,,,,,,,,,,,
92,,1994,Seoul,,United States,,,tdavis6514@gmail.com,,,China,,,,Theodore,Davis,,,*,,,,,,,,,,,,,,
93,,1997,Seoul,,China,,452 1656-859,*,,,Japan,,,,Liam,Garcia,,,,,,,,,,,,,,,,,
94,,,Dubai,,Japan,,,,,,*,,,,Benjamin,Garcia,,,benjamingarcia3483@stanfordalumni.org,,,,,,,,,,,,,,
95,,2004,Beijing,,USA,,,t.johnson5018@alumni.stanford.edu,,,USA,,,,Theodore,Johnson,,,t.johnson218@alumni.stanford.edu,,,,,,,,,,,,,,
96,,,Boston,MA,,,*,,,,,,,,Elijah,Garcia,,,*,,,,,,,,,,,,,,
97,,2005,Madrid,,United States,,*,b.brown882@stanfordalumni.org,,,Japan,,,,Benjamin,Brown,,,*,,,,,,,,,,,,,,
98,,,Boston,MA,*,,433 0795-131,,,,China,,,,Liam,Rodriguez,,,*,,,,,,,,,,,,,,
99,,,Shanghai,,,,,*,,,,,,,Karen,Miller,,,,,,,,,,,,,,,,,
